Dataset,Strategy,Replicates,AvgExecutionTimeMs,AvgPenaltyScore,StdDev,AvgFilledPercentage,UnfilledShifts
Small,adaptive,30,1.13,71.68,0.00,100.0,0.0
Small,mrv,30,1.00,71.68,0.00,100.0,0.0
Small,load_balanced,30,1.07,71.68,0.00,100.0,0.0
Small,standard,30,1.00,225.28,0.00,100.0,0.0
Medium,adaptive,30,1.03,20.48,0.00,100.0,0.0
Medium,mrv,30,1.03,20.48,0.00,100.0,0.0
Medium,load_balanced,30,1.00,20.48,0.00,100.0,0.0
Medium,standard,30,1.03,1474.08,0.00,100.0,0.0
Large,adaptive,30,2.80,31.95,0.00,100.0,0.0
Large,mrv,30,3.50,31.95,0.00,100.0,0.0
Large,load_balanced,30,2.90,31.95,0.00,100.0,0.0
Large,standard,30,1.77,3709.71,0.00,100.0,0.0
