"Dataset","Configuration","Replicate","InitialTemperature","CoolingRate","MaxIterations","TotalShifts","FilledShifts","FilledPercentage","ExecutionTimeMs","TotalPenaltyScore"
"small","baseline","1","1000","0.95","1000","50","50","100","297","0"
"small","baseline","2","1000","0.95","1000","50","50","100","117","0"
"small","baseline","3","1000","0.95","1000","50","50","100","118","0"
"small","baseline","4","1000","0.95","1000","50","50","100","192","0"
"small","baseline","5","1000","0.95","1000","50","50","100","158","0"
"small","baseline","6","1000","0.95","1000","50","50","100","123","0"
"small","baseline","7","1000","0.95","1000","50","50","100","134","0"
"small","baseline","8","1000","0.95","1000","50","50","100","131","0"
"small","baseline","9","1000","0.95","1000","50","50","100","202","0"
"small","baseline","10","1000","0.95","1000","50","50","100","159","0"
"small","baseline","11","1000","0.95","1000","50","50","100","122","0"
"small","baseline","12","1000","0.95","1000","50","50","100","128","0"
"small","baseline","13","1000","0.95","1000","50","50","100","192","0"
"small","baseline","14","1000","0.95","1000","50","50","100","191","0"
"small","baseline","15","1000","0.95","1000","50","50","100","164","0"
"small","baseline","16","1000","0.95","1000","50","50","100","114","0"
"small","baseline","17","1000","0.95","1000","50","50","100","216","0"
"small","baseline","18","1000","0.95","1000","50","50","100","193","0"
"small","baseline","19","1000","0.95","1000","50","50","100","76","0"
"small","baseline","20","1000","0.95","1000","50","50","100","60","0"
"small","baseline","21","1000","0.95","1000","50","50","100","106","0"
"small","baseline","22","1000","0.95","1000","50","50","100","88","0"
"small","baseline","23","1000","0.95","1000","50","50","100","126","0"
"small","baseline","24","1000","0.95","1000","50","50","100","210","0"
"small","baseline","25","1000","0.95","1000","50","50","100","63","0"
"small","baseline","26","1000","0.95","1000","50","50","100","72","0"
"small","baseline","27","1000","0.95","1000","50","50","100","116","0"
"small","baseline","28","1000","0.95","1000","50","50","100","69","0"
"small","baseline","29","1000","0.95","1000","50","50","100","57","0"
"small","baseline","30","1000","0.95","1000","50","50","100","104","0"
"small","low-temperature","1","100","0.95","1000","50","50","100","115","0"
"small","low-temperature","2","100","0.95","1000","50","50","100","88","0"
"small","low-temperature","3","100","0.95","1000","50","50","100","113","0"
"small","low-temperature","4","100","0.95","1000","50","50","100","61","0"
"small","low-temperature","5","100","0.95","1000","50","50","100","71","0"
"small","low-temperature","6","100","0.95","1000","50","50","100","99","0"
"small","low-temperature","7","100","0.95","1000","50","50","100","109","0"
"small","low-temperature","8","100","0.95","1000","50","50","100","76","0"
"small","low-temperature","9","100","0.95","1000","50","50","100","141","0"
"small","low-temperature","10","100","0.95","1000","50","50","100","79","0"
"small","low-temperature","11","100","0.95","1000","50","50","100","79","0"
"small","low-temperature","12","100","0.95","1000","50","50","100","249","0"
"small","low-temperature","13","100","0.95","1000","50","50","100","187","0"
"small","low-temperature","14","100","0.95","1000","50","50","100","98","0"
"small","low-temperature","15","100","0.95","1000","50","50","100","49","0"
"small","low-temperature","16","100","0.95","1000","50","50","100","156","0"
"small","low-temperature","17","100","0.95","1000","50","50","100","143","0"
"small","low-temperature","18","100","0.95","1000","50","50","100","135","0"
"small","low-temperature","19","100","0.95","1000","50","50","100","129","0"
"small","low-temperature","20","100","0.95","1000","50","50","100","96","0"
"small","low-temperature","21","100","0.95","1000","50","50","100","69","0"
"small","low-temperature","22","100","0.95","1000","50","50","100","170","0"
"small","low-temperature","23","100","0.95","1000","50","50","100","77","0"
"small","low-temperature","24","100","0.95","1000","50","50","100","171","0"
"small","low-temperature","25","100","0.95","1000","50","50","100","114","0"
"small","low-temperature","26","100","0.95","1000","50","50","100","149","0"
"small","low-temperature","27","100","0.95","1000","50","50","100","81","0"
"small","low-temperature","28","100","0.95","1000","50","50","100","60","0"
"small","low-temperature","29","100","0.95","1000","50","50","100","146","0"
"small","low-temperature","30","100","0.95","1000","50","50","100","78","0"
"small","fast-cooling","1","1000","0.8","1000","50","50","100","116","0"
"small","fast-cooling","2","1000","0.8","1000","50","50","100","117","0"
"small","fast-cooling","3","1000","0.8","1000","50","50","100","80","0"
"small","fast-cooling","4","1000","0.8","1000","50","50","100","212","0"
"small","fast-cooling","5","1000","0.8","1000","50","50","100","191","0"
"small","fast-cooling","6","1000","0.8","1000","50","50","100","87","0"
"small","fast-cooling","7","1000","0.8","1000","50","50","100","127","0"
"small","fast-cooling","8","1000","0.8","1000","50","50","100","161","0"
"small","fast-cooling","9","1000","0.8","1000","50","50","100","89","0"
"small","fast-cooling","10","1000","0.8","1000","50","50","100","165","0"
"small","fast-cooling","11","1000","0.8","1000","50","50","100","85","0"
"small","fast-cooling","12","1000","0.8","1000","50","50","100","112","0"
"small","fast-cooling","13","1000","0.8","1000","50","50","100","125","0"
"small","fast-cooling","14","1000","0.8","1000","50","50","100","83","0"
"small","fast-cooling","15","1000","0.8","1000","50","50","100","176","0"
"small","fast-cooling","16","1000","0.8","1000","50","50","100","92","0"
"small","fast-cooling","17","1000","0.8","1000","50","50","100","79","0"
"small","fast-cooling","18","1000","0.8","1000","50","50","100","151","0"
"small","fast-cooling","19","1000","0.8","1000","50","50","100","145","0"
"small","fast-cooling","20","1000","0.8","1000","50","50","100","199","0"
"small","fast-cooling","21","1000","0.8","1000","50","50","100","112","0"
"small","fast-cooling","22","1000","0.8","1000","50","50","100","97","0"
"small","fast-cooling","23","1000","0.8","1000","50","50","100","129","0"
"small","fast-cooling","24","1000","0.8","1000","50","50","100","108","0"
"small","fast-cooling","25","1000","0.8","1000","50","50","100","117","0"
"small","fast-cooling","26","1000","0.8","1000","50","50","100","116","0"
"small","fast-cooling","27","1000","0.8","1000","50","50","100","184","0"
"small","fast-cooling","28","1000","0.8","1000","50","50","100","108","0"
"small","fast-cooling","29","1000","0.8","1000","50","50","100","112","0"
"small","fast-cooling","30","1000","0.8","1000","50","50","100","69","0"
"small","short-search","1","1000","0.95","100","50","50","100","13","0"
"small","short-search","2","1000","0.95","100","50","50","100","15","0"
"small","short-search","3","1000","0.95","100","50","50","100","16","0"
"small","short-search","4","1000","0.95","100","50","50","100","8","0"
"small","short-search","5","1000","0.95","100","50","50","100","12","0"
"small","short-search","6","1000","0.95","100","50","50","100","15","0"
"small","short-search","7","1000","0.95","100","50","50","100","39","0"
"small","short-search","8","1000","0.95","100","50","50","100","12","0"
