"Dataset","Configuration","Replicates","AvgExecutionTimeMs","AvgPenaltyScore","AvgFilledPercentage","BestPenaltyScore","WorstPenaltyScore"
"large","baseline","30","234.6","0","100","0","0"
"large","fast-cooling","30","245.63","0","100","0","0"
"large","low-temperature","30","393.27","0","100","0","0"
"large","short-search","30","30.3","150.67","100","0","480"
"medium","baseline","30","181.4","0","100","0","0"
"medium","fast-cooling","30","159.33","0","100","0","0"
"medium","low-temperature","30","134.57","0","100","0","0"
"medium","short-search","30","10.33","40.33","100","0","240"
"small","baseline","30","136.6","0","100","0","0"
"small","fast-cooling","30","124.8","0","100","0","0"
"small","low-temperature","30","112.93","0","100","0","0"
"small","short-search","30","15.43","7.33","100","0","110"
